,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHÂN KHU,,,SXD,K1,BSD=SSD/SĐM,,,,KTB,"BVL
(%)","BTT05'
(%)",,,KẾT QUẢ,,,,,,,,,,,,,,,,,,,,,,,,,
VỊ TRÍ,,CHỨC NĂNG,,,SSD,SĐM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tầng điểm đầu hành trình thang,Tầng hầm 1 - Nhà xe,Không tính,,,,  ,,  ,,  ,  ,,  ,  ,,  ,,,,,,,,,,,,,,,,,,,,,,,
Tầng thương mại,"Tầng 1,2,3,4, TT thương mại",Không tính,,,,  ,,  ,,  ,  ,,  ,  ,,  ,,,,,,,,,,,,,,,,,,,,,,,
Tầng điểm dừng thứ 5 và cao hơn,"Tầng 5-8, Văn phòng
SSD = 570*4","Văn phòng (thuê riêng). 
Mức độ trung bình",,," 2,280 ", 6 ,÷, 8 ,1.00, 5 , 15 ,÷, 16 , 9.0 ,÷, 12.8 ,,,,,,,,,,,,,,,,,,,,,,,
Tầng điểm dừng thứ 5 và cao hơn,"Tầng 9-24, Văn phòng
SSD = 570*16","Chung cư. 
Mức độ trung bình",,," 9,120 ", 23 ,÷, 28 ,1.00, 5 , 5 ,÷, 6 , 3.4 ,÷, 5.0 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,  ,,  ,,  ,  ,,  ,  ,,  ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,  ,,  ,,  ,  ,,  ,  ,,  ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,  ,,  ,,  ,  ,,  ,  ,,  ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,  ,,  ,,  ,  ,,  ,  ,,  ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,  ,,  ,,  ,  ,,  ,  ,,  ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,  ,,  ,,  ,  ,,  ,  ,,  ,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG,,,,,,,,,,,,,, 12.4 ,÷, 17.8 ,,,,,,,,,,,,,,,,,,,,,,,
